GEOID,borough,tract_name,population,area_km2,pop_density,restroom_count,people_per_restroom,nearest_restroom_dist,Priority_Score,Priority_Class
36081040902,Queens,Census Tract 409.02,3176,0.08160254940015675,38920.352652534886,0,3176.0,1825.0625961222422,0.5606687069056137,1
36081043900,Queens,Census Tract 439,3450,0.1647484125453876,20941.021201339572,0,3450.0,1707.1228298737506,0.4441688581738539,1
36081044000,Queens,Census Tract 440,3734,0.3785578723490035,9863.749436327973,2,1244.6666666666667,430.9177758835783,-0.5595126941002728,0
36081044601,Queens,Census Tract 446.01,3775,0.22477407267721525,16794.64163743233,0,3775.0,1371.9067325327308,0.3192226271150451,0
36081007500,Queens,Census Tract 75,4619,0.12922439408391043,35744.02521091106,0,4619.0,1964.0246427005175,0.6585871279783131,1
36081006300,Queens,Census Tract 63,6052,0.21249787471079326,28480.28484160931,0,6052.0,1385.599274465374,0.5049873400879461,1
36081007100,Queens,Census Tract 71,3298,0.19506130896212337,16907.50470991866,1,1649.0,504.46949387578815,-0.3381348970234425,0
36081010000,Queens,Census Tract 100,3184,0.22335147032229172,14255.558718308645,0,3184.0,2381.542033088325,0.529256273353358,1
36081010300,Queens,Census Tract 103,4288,0.25046162335070954,17120.387317763714,0,4288.0,2177.0706902977126,0.5749359284338023,1
36081010500,Queens,Census Tract 105,4930,0.19801844966907806,24896.6700236208,0,4930.0,2375.4274513602304,0.7066156320470863,1
36081010600,Queens,Census Tract 106,2998,0.17300606914979205,17328.871840931042,1,1499.0,450.72651041040336,-0.40866195179814996,0
36081010701,Queens,Census Tract 107.01,0,2.9682049484997273,0.0,0,0.0,3130.5660976597965,-2.515393554347857,0
36081011000,Queens,Census Tract 110,2951,0.16504322240671623,17880.164704539315,0,2951.0,1643.002565409087,0.36821160013966897,0
36081011200,Queens,Census Tract 112,2505,0.1891906383758731,13240.612862795091,1,1252.5,841.9799885163944,-0.18184244786852224,0
36081011300,Queens,Census Tract 113,4627,0.17867379240885073,25896.355238334316,1,2313.5,345.9861113744644,-0.38563526689119093,0
36081010200,Queens,Census Tract 102,2837,0.2138594968488464,13265.719043588517,0,2837.0,3009.6454086478093,0.6093155228057519,1
36081011500,Queens,Census Tract 115,2369,0.18555461673350793,12767.130463815616,0,2369.0,1390.5433623777317,0.18733606815689866,0
36081011700,Queens,Census Tract 117,4268,0.21282319957432308,20054.204656901184,0,4268.0,907.51466529675,0.16978914773042122,0
36081011800,Queens,Census Tract 118,2551,0.1570886221439296,16239.241042312362,0,2551.0,1560.437456260691,0.29787287626907494,0
36081012200,Queens,Census Tract 122,2894,0.21018181094451166,13769.031615985175,0,2894.0,1578.0263698079987,0.30213154477889465,0
36081012301,Queens,Census Tract 123.01,3063,0.5915082872736784,5178.287550488391,1,1531.5,1160.3601257507448,-0.1357900026534149,0
36081012400,Queens,Census Tract 124,3139,0.19765843691943116,15880.93100867487,0,3139.0,2169.3265107795883,0.4980107794993342,1
36081012602,Queens,Census Tract 126.02,2413,0.14897409020452276,16197.447466786025,0,2413.0,1111.4677555545172,0.11956842355994975,0
36081013200,Queens,Census Tract 132,1996,0.1923535704943532,10376.724460431034,1,998.0,781.5254608079117,-0.30374940527248007,0
36081013400,Queens,Census Tract 134,5778,0.19080640186820771,30282.0028228976,0,5778.0,1674.9698842967466,0.5987352352851394,1
36081013500,Queens,Census Tract 135,1014,0.13575656883755852,7469.251828346637,0,1014.0,2329.137254070544,0.18259269649256837,0
36081013600,Queens,Census Tract 136,2102,0.15140486245445756,13883.305766565321,0,2102.0,2239.6490429188743,0.4109231155051305,0
36081013700,Queens,Census Tract 137,1959,0.19992869040599673,9798.49363301407,0,1959.0,1151.5143537966794,0.013451037117088888,0
36081013800,Queens,Census Tract 138,3923,0.1697543232725181,23109.867980812145,0,3923.0,2007.7722217332744,0.5657803807763672,1
36081014000,Queens,Census Tract 140,4096,0.2221040953856905,18441.803123383077,0,4096.0,1284.3395550789621,0.3184629223625395,0
36081014202,Queens,Census Tract 142.02,2877,0.6181267798795433,4654.384979988493,0,2877.0,1490.6441937588902,0.0972937735098226,0
36081014500,Queens,Census Tract 145,2406,0.12774124067230688,18834.95093156394,0,2406.0,1585.871060215641,0.31801452282358084,0
36081015000,Queens,Census Tract 150,2462,0.1471154783114814,16735.15274026647,0,2462.0,470.2190749124106,-0.2933474970434686,0
36081015200,Queens,Census Tract 152,2670,0.18529365159020295,14409.560052845174,0,2670.0,2159.5156542787213,0.44735191922132583,1
36081015400,Queens,Census Tract 154,2016,0.1501414106681851,13427.341537741324,0,2016.0,938.5283042867087,-0.03016664622188948,0
36081015500,Queens,Census Tract 155,2015,0.14750614147048488,13660.448167869605,0,2015.0,615.4111250634637,-0.23465831003427504,0
36081015600,Queens,Census Tract 156,3267,0.20947493901747766,15596.137730477707,0,3267.0,1595.2828502618834,0.3521418999474424,0
36081015700,Queens,Census Tract 157,1786,0.128462754831113,13902.862369314847,1,893.0,1576.0881314831297,0.06569159151374183,0
36081014700,Queens,Census Tract 147,3221,0.14794771420950956,21771.204896337396,0,3221.0,736.3204328730328,0.023611639286411912,0
36081014800,Queens,Census Tract 148,1803,0.1570565008560375,11479.945052721387,1,901.5,249.6551740030374,-0.8675370498657603,0
36081014900,Queens,Census Tract 149,2315,0.10659455539566953,21717.807175112514,0,2315.0,922.472097725548,0.06716992201288212,0
